cds14,school,year,cohort,diploma_rate,ag_met_raw,ag_rate_raw,anomaly_class,severity,recommended_action,impute_confidence,ag_met_estimate,ag_met_clean,low_denominator,evidence
33672073330172,,2024,488,93.6,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~93.6% (CALPADS course-data non-submission)
36678763630308,,2018,394,78.4,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~78.4% (CALPADS course-data non-submission)
33672073330172,,2021,380,74.7,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~74.7% (CALPADS course-data non-submission)
42693104231452,DELTA HIGH SCHOOL,2021,380,89.5,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~89.5% (CALPADS course-data non-submission)
33752423330560,,2021,379,69.4,2,0.0053,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~69.4% (CALPADS course-data non-submission)
33751763330115,,2021,377,84.1,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~84.1% (CALPADS course-data non-submission)
33672073330172,,2023,370,86.8,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~86.8% (CALPADS course-data non-submission)
33672153330677,,2022,363,84.6,2,0.0055,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~84.6% (CALPADS course-data non-submission)
42693104231452,DELTA HIGH SCHOOL,2023,354,93.2,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~93.2% (CALPADS course-data non-submission)
36678763630308,,2021,347,71.2,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~71.2% (CALPADS course-data non-submission)
33670333330586,,2017,344,67.4,1,0.0029,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~67.4% (CALPADS course-data non-submission)
36678763630308,,2024,343,90.7,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~90.7% (CALPADS course-data non-submission)
36678763630308,,2017,340,80.6,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~80.6% (CALPADS course-data non-submission)
36678763630308,,2023,338,86.1,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~86.1% (CALPADS course-data non-submission)
42693104231452,DELTA HIGH SCHOOL,2018,338,87.9,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~87.9% (CALPADS course-data non-submission)
42693104231452,DELTA HIGH SCHOOL,2017,335,82.1,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~82.1% (CALPADS course-data non-submission)
19734371995695,,2017,333,61.0,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~61.0% (CALPADS course-data non-submission)
33670333330586,,2018,333,69.1,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~69.1% (CALPADS course-data non-submission)
33751763330115,,2024,329,92.1,1,0.003,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~92.1% (CALPADS course-data non-submission)
33670823330065,,2023,328,73.5,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~73.5% (CALPADS course-data non-submission)
42693104231452,DELTA HIGH SCHOOL,2024,324,93.5,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~93.5% (CALPADS course-data non-submission)
19734371995695,,2018,319,73.4,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~73.4% (CALPADS course-data non-submission)
33751763330115,,2023,319,95.3,1,0.0031,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~95.3% (CALPADS course-data non-submission)
36678763630308,,2019,318,80.2,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~80.2% (CALPADS course-data non-submission)
36678763630308,,2022,311,86.2,1,0.0032,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~86.2% (CALPADS course-data non-submission)
33670823330065,,2025,309,80.3,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~80.3% (CALPADS course-data non-submission)
33751763330115,,2022,308,90.3,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~90.3% (CALPADS course-data non-submission)
36678763630308,,2020,308,72.7,0,0.0,CHRONIC_ZERO,near-certain error,SUPPRESS_RATE,,,,1,school reports ~0 A-G every yr w/ diploma~72.7% (CALPADS course-data non-submission)
