ceeb,cds14,dv_name,cde_name,match_method,match_score
050003,19646831930080,AGOURA HIGH SCHOOL,Agoura High,gardiner_seed,1.00
050005,01611190130229,ALAMEDA HIGH SCHOOL,Alameda High,gardiner_seed,1.00
050006,56738745630132,OAK PARK HIGH SCHOOL,Oak Park High,gardiner_seed,1.00
050008,19753091995786,VASQUEZ HIGH SCHOOL,Vasquez High,fuzzy_name_county,1.00
050011,01611190130609,ALAMEDA COMMUNITY LEARNING CTR,Alameda Community Learning Center,fuzzy_name_county,0.95
050013,01611190130625,ALTERNATIVES IN ACTION HIGH SCHOOL,Alternatives in Action,fuzzy_name_county,1.00
050015,01611190132142,ENCINAL HIGH SCHOOL,Encinal Junior/Senior High,gardiner_seed,1.00
050029,01611190130229,ALAMEDA SCIENCE & TECHNICAL INST,Alameda High,fuzzy_name_county,0.94
050035,01611270130450,ALBANY HIGH SCHOOL,Albany High,gardiner_seed,1.00
050038,33752420133306,ORANGE VISTA HIGH SCHOOL,Orange Vista High,gardiner_seed,1.00
050048,19645270133835,ELLEN OCHOA PREP ACADEMY,Ellen Ochoa Prep Academy,fuzzy_name_county,1.00
050050,19757131930163,ALHAMBRA HIGH SCHOOL,Alhambra High,gardiner_seed,1.00
050051,43104390128090,SUMMIT PUBLIC SCHOOL DENALI,Summit Public School: Denali,fuzzy_name_county,1.00
050052,19757131995430,INDEPENDENCE HIGH SCHOOL,Independence High (Alternative),fuzzy_name_county,0.94
050055,19757131934553,MARK KEPPEL HIGH SCHOOL,Mark Keppel High,gardiner_seed,1.00
050057,19643371931187,BURBANK INDEPENDENT LEARNING ACAD,Burbank High,fuzzy_name_county,0.94
050063,30664643030574,ALISO NIGUEL HIGH SCHOOL,Aliso Niguel High,fuzzy_name_county,1.00
050068,19647330112045,ARLETA HIGH SCHOOL,Arleta High,fuzzy_name_county,1.00
050070,54718035430301,ALPAUGH HIGH SCHOOL,Alpaugh Junior-Senior High,fuzzy_name_county,1.00
050075,09619030937805,SOUTH TAHOE HIGH SCHOOL,South Tahoe High,fuzzy_name_county,1.00
050077,36676523630225,ALTA LOMA HIGH SCHOOL,Alta Loma High,gardiner_seed,1.00
050080,25735852535409,MODOC HIGH SCHOOL,Modoc High,fuzzy_name_county,1.00
050081,30664313033057,KATELLA HIGH SCHOOL,Katella High,gardiner_seed,1.00
050083,30664313034204,MAGNOLIA HIGH SCHOOL,Magnolia High,gardiner_seed,1.00
050084,30664313033784,LOARA HIGH SCHOOL,Loara High,gardiner_seed,1.00
050087,30664313036712,SAVANNA HIGH SCHOOL,Savanna High,gardiner_seed,1.00
050090,30664313030228,ANAHEIM HIGH SCHOOL,Anaheim High,gardiner_seed,1.00
050092,30664313038239,WESTERN HIGH SCHOOL,Western High,gardiner_seed,1.00
050093,30666473030053,ESPERANZA HIGH SCHOOL,Esperanza High,fuzzy_name_county,1.00
050095,45698564530804,ANDERSON UNION HIGH SCHOOL,Anderson High,fuzzy_name_county,0.94
050100,05615560532507,BRET HARTE UNION HIGH SCHOOL,Bret Harte Union High,fuzzy_name_county,1.00
050108,33670820106716,HAMILTON HIGH SCHOOL,Hamilton High,fuzzy_name_county,1.00
050109,07616480730465,DEER VALLEY HIGH SCHOOL,Deer Valley High,fuzzy_name_county,1.00
050115,07616480730861,ANTIOCH HIGH SCHOOL,Antioch High,fuzzy_name_county,1.00
050118,36750773630423,APPLE VALLEY HIGH SCHOOL,Apple Valley High,gardiner_seed,1.00
050119,44697994430518,APTOS HIGH SCHOOL,Aptos High,fuzzy_name_county,1.00
050120,06616140635250,PIERCE HIGH SCHOOL,Pierce High,fuzzy_name_county,1.00
050126,36750773631207,ACADEMY FOR ACADEMIC EXCELLENCE,Academy for Academic Excellence,fuzzy_name_county,1.00
050130,19642611930288,ARCADIA HIGH SCHOOL,Arcadia High,gardiner_seed,1.00
050134,36750773630894,GRANITE HILLS HIGH SCHOOL,Granite Hills High,gardiner_seed,1.00
050135,12626871230705,ARCATA HIGH SCHOOL,Arcata High,fuzzy_name_county,1.00
050150,40687594030557,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande High,fuzzy_name_county,1.00
050155,19642121930361,ARTESIA HIGH SCHOOL,Artesia High,gardiner_seed,1.00
050160,15635291530252,ARVIN HIGH SCHOOL,Arvin High,gardiner_seed,1.00
050162,19648810113464,AVESON GLOBAL LEADERSHIP ACADEMY,Aveson Global Leadership Academy,fuzzy_name_county,1.00
050165,40687004030755,ATASCADERO HIGH SCHOOL,Atascadero High,fuzzy_name_county,1.00
050170,41690624133716,MENLO ATHERTON HIGH SCHOOL,Menlo-Atherton High,gardiner_seed,1.00
050172,24657892430601,ATWATER HIGH SCHOOL,Atwater High,fuzzy_name_county,1.00
050175,31668943135704,PLACER HIGH SCHOOL,Placer High,fuzzy_name_county,1.00
050180,19647331931930,AVALON HIGH SCHOOL,Avalon High,fuzzy_name_county,1.00
050181,24657892430205,BUHACH COLONY HIGH SCHOOL,Buhach Colony High,fuzzy_name_county,1.00
050185,16739321630953,AVENAL HIGH SCHOOL,Avenal High,fuzzy_name_county,1.00
050188,19642791930528,AZUSA HIGH SCHOOL,Azusa High,fuzzy_name_county,1.00
050190,19642791933449,GLADSTONE HIGH SCHOOL,Gladstone High,fuzzy_name_county,1.00
050196,15635291530476,LIBERTY HIGH SCHOOL,Liberty High,gardiner_seed,1.00
050202,15635291530385,RIDGEVIEW HIGH SCHOOL,Ridgeview High,gardiner_seed,1.00
050205,15635291530708,BAKERSFIELD HIGH SCHOOL,Bakersfield High,gardiner_seed,1.00
050209,15635291530369,CENTENNIAL HIGH SCHOOL,Centennial High,fuzzy_name_county,1.00
050210,15635291532290,EAST BAKERSFIELD HIGH SCHOOL,East Bakersfield High,gardiner_seed,1.00
050213,15635291532605,FOOTHILL HIGH SCHOOL,Foothill High,fuzzy_name_county,1.00
050217,15635291530344,STOCKDALE HIGH SCHOOL,Stockdale High,gardiner_seed,1.00
050218,15635291533330,HIGHLAND HIGH SCHOOL,Highland High,fuzzy_name_county,1.00
050220,15635291534775,NORTH HIGH SCHOOL,North High,fuzzy_name_county,1.00
050223,15635291535392,SOUTH HIGH SCHOOL,South High,gardiner_seed,1.00
050224,15635291536606,WEST HIGH SCHOOL,West High,fuzzy_name_county,1.00
050225,19642871930601,BALDWIN PARK HIGH SCHOOL,Baldwin Park High,fuzzy_name_county,1.00
050228,19642871938166,SIERRA VISTA HIGH SCHOOL,Sierra Vista High,gardiner_seed,1.00
050230,33669853330214,BANNING HIGH SCHOOL,Banning High,gardiner_seed,1.00
050235,36676113630803,BARSTOW HIGH SCHOOL,Barstow High,fuzzy_name_county,1.00
050238,19642951930700,BASSETT HIGH SCHOOL,Bassett Senior High,fuzzy_name_county,1.00
050240,33669933330479,BEAUMONT HIGH SCHOOL,Beaumont Senior High,gardiner_seed,1.00
050245,19647331930866,BELL HIGH SCHOOL,Bell Senior High,gardiner_seed,1.00
050255,19643031930775,BELLFLOWER HIGH SCHOOL,Bellflower High,gardiner_seed,1.00
050259,15635290100198,GOLDEN VALLEY HIGH SCHOOL,Golden Valley High,gardiner_seed,1.00
050265,19648081930825,BELL GARDENS HIGH SCHOOL,Bell Gardens High,gardiner_seed,1.00
050266,30736500133405,PORTOLA HIGH SCHOOL,Portola High,gardiner_seed,1.00
050268,33672150132498,ENCORE HS FOR THE ARTS - RIVER,Encore High School for the Arts - Riverside,fuzzy_name_county,0.94
050270,41690624130993,CARLMONT HIGH SCHOOL,Carlmont High,gardiner_seed,1.00
050280,48705244831004,BENICIA HIGH SCHOOL,Benicia High,fuzzy_name_county,1.00
050290,01611430131177,BERKELEY HIGH SCHOOL,Berkeley High,gardiner_seed,1.00
050293,19647330132126,BERT CORONA CHARTER HIGH SCHL,Bert Corona Charter High,fuzzy_name_county,0.94
050301,19647330111641,ALLIANCE MIT 6-12 COMPLEX,Alliance Ouchi-O'Donovan 6-12 Complex,fuzzy2_token,0.80
050306,07617960735902,RICHMOND CA COLLEGE PREPRATORY,Richmond High,fuzzy_name_county,0.94
050308,19647330133868,RISE KOHYANG HIGH SCHOOL,Rise Kohyang High,gardiner_seed,1.00
050309,19647330133603,GIRLS ACADEMIC LEADERSHIP ACAD,Girls Academic Leadership Academy (GALA),fuzzy_name_county,0.93
050311,01611430122697,REALM CHARTER HIGH SCHOOL,REALM Charter High,fuzzy_name_county,1.00
050318,33670330135574,HYBRID SCHOOL OF INNOVATION,Academy of Innovation,fuzzy_name_county,0.94
050320,19643111930981,BEVERLY HILLS HIGH SCHOOL,Beverly Hills High,gardiner_seed,1.00
050329,07100740134114,CONTRA COSTA SCH PRFRMING ARTS,Contra Costa School of Performing Arts,fuzzy_name_county,0.90
050330,36676373631066,BIG BEAR HIGH SCHOOL,Big Bear High,fuzzy_name_county,1.00
050334,33671733330818,DESERT HOT SPRINGS HS,Desert Hot Springs High,gardiner_seed,1.00
050338,19647330132282,EAST COLLEGE PREP,USC East College Prep,fuzzy_name_county,0.94
050345,14766871431600,BISHOP UNION HIGH SCHOOL,Bishop Union High,fuzzy_name_county,1.00
050348,36676863631322,BLOOMINGTON HIGH SCHOOL,Bloomington High,gardiner_seed,1.00
050350,33671813335759,PALO VERDE HIGH SCHOOL,Palo Verde High,fuzzy_name_county,1.00
050352,50755725030317,CONNECTING WATERS - EAST BAY,Connecting Waters Charter,fuzzy2_token,0.80
050355,23655402330900,ANDERSON VALLEY JR SR HIGH SCHOOL,Anderson Valley Junior-Senior High,fuzzy_name_county,0.90
050358,43696740135970,MISSION EARLY COLLEGE HIGH SCH,Mission Early College High,fuzzy_name_county,0.94
050363,37679833730447,BORREGO SPRINGS HIGH SCHOOL,Borrego Springs High,fuzzy_name_county,1.00
050365,13630811331404,BRAWLEY UNION HIGH SCHOOL,Brawley High,gardiner_seed,1.00
050370,30664493030640,BREA OLINDA HIGH SCHOOL,Brea-Olinda High,gardiner_seed,1.00
050372,07617210730457,FREEDOM HIGH SCHOOL,Freedom High,fuzzy_name_county,1.00
050375,07617210733980,LIBERTY HIGH SCHOOL,Liberty High,fuzzy_name_county,1.00
050378,30665143030855,BUENA PARK HIGH SCHOOL,Buena Park High,fuzzy_name_county,1.00
050379,30664313033115,JOHN F KENNEDY HIGH SCHOOL,John F. Kennedy High,gardiner_seed,1.00
050385,19643371931187,BURBANK HIGH SCHOOL,Burbank High,gardiner_seed,1.00
050386,07617210107797,HERITAGE HIGH SCHOOL,Heritage High,gardiner_seed,1.00
050394,34103480136275,REX & MARGARET FORTUNE ECHS,Fortune,fuzzy_name_county,0.94
050396,19101990136119,ANIMO CTY CHAMPIONS CHARTER HS,Animo City of Champions Charter High,fuzzy_name_county,0.98
050399,19647330135681,HORACE MANN UCLA COMMUNITY SCH,Horace Mann UCLA Community,fuzzy_name_county,0.94
050400,19643371931237,JOHN BURROUGHS HIGH SCHOOL,Burroughs High,gardiner_seed,1.00
050404,30665970111666,EARLY COLLEGE HIGH SCHOOL,Early College High,fuzzy_name_county,1.00
050410,41690474130472,BURLINGAME HIGH SCHOOL,Burlingame High,gardiner_seed,1.00
050411,37770990136077,GROSSMONT SECONDARY SCHOOL,Altus Schools East County,fuzzy_name_county,1.00
