cds14,ag_year,ag_cohort,ag_met_uccsu_count,ag_met_uccsu_rate
01100170112607,2016-17,81,66,100.0
01100170130401,2016-17,95,0,0.0
01100170130419,2016-17,171,0,0.0
01316090131755,2016-17,12,0,0.0
01316170131763,2016-17,47,0,0.0
01611190106401,2016-17,46,42,93.3
01611190119222,2016-17,20,16,100.0
01611190130229,2016-17,420,262,65.7
01611190130609,2016-17,51,40,97.6
01611190130625,2016-17,37,19,100.0
01611190132142,2016-17,242,82,37.4
01611190134304,2016-17,77,0,0.0
01611270130450,2016-17,302,176,62.9
01611430122697,2016-17,68,36,66.7
01611430131177,2016-17,829,487,66.3
01611430134924,2016-17,42,0,0.0
01611500132225,2016-17,708,408,59.4
01611500135533,2016-17,74,2,3.3
01611680132746,2016-17,37,11,32.4
01611760130062,2016-17,505,346,72.2
01611760130138,2016-17,108,0,0.0
01611760130435,2016-17,16,0,0.0
01611760130534,2016-17,49,10,29.4
01611760134270,2016-17,497,339,72.4
01611760134452,2016-17,352,162,49.2
01611760135244,2016-17,483,422,91.7
01611760138693,2016-17,409,227,58.5
01611920108670,2016-17,123,116,95.1
01611920113902,2016-17,108,107,100.0
01611920127944,2016-17,37,33,94.3
01611920133009,2016-17,244,0,0.0
01611920133629,2016-17,330,127,45.0
01611920135319,2016-17,461,211,49.9
01611920138339,2016-17,333,101,40.2
01612000120931,2016-17,86,65,89.0
01612000130393,2016-17,58,5,11.9
01612000132670,2016-17,84,0,0.0
01612000133397,2016-17,474,227,48.6
01612000134536,2016-17,410,219,55.4
01612340130054,2016-17,346,111,35.5
01612340130484,2016-17,42,0,0.0
01612340135426,2016-17,39,0,0.0
01612420110460,2016-17,102,0,0.0
01612420126763,2016-17,53,1,5.6
01612420134668,2016-17,813,356,48.0
01612590000001,2016-17,18,1,25.0
01612590100065,2016-17,63,54,96.4
01612590100701,2016-17,41,29,74.4
01612590106906,2016-17,18,17,100.0
01612590108944,2016-17,56,42,100.0
01612590110189,2016-17,68,25,48.1
01612590111856,2016-17,35,26,96.3
01612590112797,2016-17,57,44,84.6
01612590114868,2016-17,82,66,90.4
01612590115238,2016-17,50,43,100.0
01612590115386,2016-17,22,0,0.0
01612590115667,2016-17,109,34,51.5
01612590118224,2016-17,40,35,97.2
01612590118653,2016-17,61,0,0.0
01612590119859,2016-17,40,0,0.0
01612590125161,2016-17,142,33,35.9
01612590125716,2016-17,136,22,26.8
01612590126748,2016-17,63,53,100.0
01612590130146,2016-17,137,1,1.2
01612590130179,2016-17,27,5,55.6
01612590130575,2016-17,65,40,70.2
01612590130617,2016-17,75,42,58.3
01612590130666,2016-17,81,66,100.0
01612590132688,2016-17,187,0,0.0
01612590135905,2016-17,297,108,50.2
01612590136051,2016-17,483,287,66.7
01612590137943,2016-17,392,152,49.8
01612593030772,2016-17,106,105,100.0
01612596066450,2016-17,54,33,67.3
01612596114011,2016-17,46,1,6.3
01612750130286,2016-17,29,23,88.5
01612750136515,2016-17,199,187,94.4
01612910134528,2016-17,116,0,0.0
01612910137588,2016-17,574,195,38.3
01613090111799,2016-17,34,20,60.6
01613090114421,2016-17,131,122,100.0
01613090130849,2016-17,423,188,46.4
01613090137745,2016-17,123,0,0.0
01613090137810,2016-17,298,101,37.8
01750930132704,2016-17,496,364,75.4
01750930138453,2016-17,44,0,0.0
01751010000000,2016-17,18,1,9.1
01751010130096,2016-17,519,336,66.0
01751010130252,2016-17,51,0,0.0
01751010130583,2016-17,620,439,72.8
03739810330019,2016-17,31,0,0.0
03739810330050,2016-17,33,0,0.0
03739810330753,2016-17,141,59,43.1
03739810334755,2016-17,125,32,26.2
04100410114991,2016-17,116,25,23.6
04100410134213,2016-17,64,0,0.0
04100410430066,2016-17,15,0,0.0
04100410430090,2016-17,38,0,0.0
04614080430827,2016-17,31,8,27.6
04614240120394,2016-17,85,38,48.1
04614240123976,2016-17,19,0,0.0
04614240430199,2016-17,51,0,0.0
04614240431502,2016-17,61,0,0.0
04614240431676,2016-17,441,169,40.9
04614240437558,2016-17,403,203,52.6
04614320433201,2016-17,82,45,58.4
04614400121509,2016-17,15,0,0.0
04614570125252,2016-17,22,0,0.0
04615150430140,2016-17,11,0,0.0
04615150434803,2016-17,210,34,17.3
04615150435602,2016-17,210,36,18.8
04615150437566,2016-17,85,0,0.0
04615310121715,2016-17,17,2,18.2
04615310432856,2016-17,59,0,0.0
04615310437350,2016-17,240,69,31.2
04615316112585,2016-17,22,0,0.0
04755070433946,2016-17,22,0,0.0
04755070433953,2016-17,132,36,32.7
05100580530048,2016-17,11,0,0.0
05100580530154,2016-17,79,1,1.4
05615560530014,2016-17,31,0,0.0
05615560532507,2016-17,138,62,45.9
05615640530022,2016-17,15,0,0.0
05615640530055,2016-17,48,0,0.0
05615640531509,2016-17,201,64,33.0
06615980630046,2016-17,12,0,0.0
06615980631259,2016-17,90,0,0.0
06616060634758,2016-17,29,10,35.7
06616140635250,2016-17,100,30,30.9
06616220630038,2016-17,17,0,0.0
06616220637504,2016-17,86,37,44.6
07100740107326,2016-17,12,0,0.0
07100740114470,2016-17,75,71,100.0
07100740120444,2016-17,79,0,0.0
07100740730614,2016-17,24,0,0.0
07100740731380,2016-17,515,330,66.0
07100746077168,2016-17,17,0,0.0
07616300107524,2016-17,35,3,10.7
