cds14,year,ela_pct_met,math_pct_met,ela_mean,math_mean,ela_n,math_n
01100170112607,2019,34.52,10.71,2541.2,2497.0,85,84
01100170136101,2019,55.56,33.33,2607.7,2548.9,18,18
01157250115725,2019,53.97,23.81,2584.0,2551.1,63,63
01316170131763,2019,8.82,2.86,2471.6,2471.0,35,35
01611190106401,2019,97.92,89.58,2701.7,2719.4,48,48
01611190119222,2019,50.0,17.65,2595.3,2538.0,34,34
01611190130229,2019,83.33,61.75,2666.3,2657.5,396,400
01611190130609,2019,88.46,62.75,2690.4,2650.7,52,51
01611190130625,2019,3.7,0.0,2451.0,2410.2,29,22
01611190132142,2019,66.99,41.55,2622.4,2588.7,209,207
01611190134304,2019,24.24,6.06,2491.7,2456.8,33,33
01611270130450,2019,80.84,70.75,2659.0,2684.0,214,213
01611430131177,2019,75.28,52.12,2652.1,2628.6,447,379
01611430138552,2019,20.45,2.27,2488.4,2446.1,46,44
01611500132225,2019,67.92,59.81,2631.5,2648.0,638,642
01611500135533,2019,16.13,1.72,2490.5,2466.1,62,58
01611680132746,2019,42.59,23.64,2556.3,2557.1,54,55
01611760130062,2019,88.68,70.26,2701.4,2696.5,539,538
01611760130138,2019,28.85,4.72,2524.7,2473.6,104,107
01611760130435,2019,66.67,0.0,2578.8,2513.2,12,12
01611760130534,2019,58.93,37.5,2627.1,2578.4,56,56
01611760134270,2019,75.47,73.4,2663.0,2696.4,530,530
01611760134452,2019,70.65,42.95,2634.3,2601.4,310,312
01611760135244,2019,94.78,93.22,2733.9,2780.2,460,457
01611760138693,2019,72.52,56.76,2650.1,2635.3,445,445
01611920108670,2019,57.75,40.29,2598.0,2594.8,142,139
01611920127944,2019,63.41,25.0,2591.0,2543.6,41,40
01611920133009,2019,5.62,0.0,2444.0,2393.2,89,89
01611920133629,2019,50.62,18.32,2579.4,2532.6,324,322
01611920135319,2019,58.09,25.86,2598.1,2535.3,472,464
01611920137646,2019,81.2,34.19,2656.8,2584.3,117,117
01611920138339,2019,34.76,10.71,2526.9,2478.0,328,364
01612000130393,2019,41.03,17.95,2565.1,2505.9,39,39
01612000132670,2019,14.75,0.0,2475.9,2402.0,63,64
01612000133397,2019,67.36,49.9,2623.6,2611.5,527,525
01612000134536,2019,60.45,41.31,2606.3,2588.5,441,443
01612340130054,2019,60.66,27.48,2598.8,2552.7,394,393
01612340130484,2019,30.77,0.0,2501.2,2433.4,13,12
01612340135426,2019,2.78,0.0,2430.5,2401.2,36,37
01612420110460,2019,16.95,0.0,2505.4,2444.7,59,60
01612420126763,2019,29.27,9.76,2520.1,2485.5,41,41
01612420134668,2019,74.67,43.97,2643.0,2604.8,822,812
01612590100065,2019,71.76,47.06,2622.0,2609.5,85,85
01612590100701,2019,27.5,10.26,2530.0,2491.6,40,40
01612590106906,2019,19.23,7.69,2510.5,2463.5,27,27
01612590108944,2019,40.91,21.21,2547.1,2528.7,66,66
