cds14,cupc_year,enroll_9_12,upp_pct,lcff_plus_flag
01100170112607,2016-2017,403,76.18,Y
01100170130401,2016-2017,95,100.0,Y
01100170130419,2016-2017,239,82.43,Y
01611190106401,2016-2017,183,24.59,N
01611190119222,2016-2017,114,53.51,N
01611190130229,2016-2017,1746,24.46,N
01611190130609,2016-2017,207,29.95,N
01611190130625,2016-2017,171,98.25,Y
01611190132142,2016-2017,1042,47.22,N
01611190134304,2016-2017,128,46.09,N
01611270130294,2016-2017,7,71.43,N
01611270130450,2016-2017,1164,22.94,N
01611430122697,2016-2017,347,71.47,N
01611430131177,2016-2017,3017,30.33,N
01611430134924,2016-2017,62,67.74,N
01611500132225,2016-2017,2920,23.77,N
01611500133876,2016-2017,5,0.0,N
01611500135533,2016-2017,117,37.61,N
01611680132746,2016-2017,177,71.75,N
01611760127233,2016-2017,33,45.45,N
01611760130062,2016-2017,2200,19.36,N
01611760130138,2016-2017,161,52.8,N
01611760130435,2016-2017,31,29.03,N
01611760130534,2016-2017,187,24.6,N
01611760134270,2016-2017,2249,16.1,N
01611760134452,2016-2017,1385,42.74,N
01611760135244,2016-2017,2003,6.34,N
01611760138693,2016-2017,1897,27.2,N
01611920108670,2016-2017,578,62.11,N
01611920113902,2016-2017,463,63.5,N
01611920127944,2016-2017,188,51.6,N
01611920133009,2016-2017,200,65.5,N
01611920133629,2016-2017,1576,66.88,N
01611920135319,2016-2017,2007,63.18,N
01611920138339,2016-2017,1394,81.49,Y
01612000120931,2016-2017,307,19.22,N
01612000130393,2016-2017,121,22.31,N
01612000132670,2016-2017,121,56.2,N
01612000133397,2016-2017,2136,17.79,N
01612000134536,2016-2017,1810,23.09,N
01612340130054,2016-2017,1701,46.91,N
01612340130484,2016-2017,54,33.33,N
01612340135426,2016-2017,62,62.9,N
01612420110460,2016-2017,149,64.43,N
01612420110478,2016-2017,12,75.0,Y
01612420126763,2016-2017,128,57.81,N
01612420134668,2016-2017,3750,49.97,N
01612426001622,2016-2017,2,100.0,Y
01612590100065,2016-2017,345,86.67,Y
01612590100701,2016-2017,171,77.78,Y
01612590106542,2016-2017,21,90.48,Y
01612590106906,2016-2017,148,100.0,Y
01612590108944,2016-2017,260,81.15,Y
01612590110189,2016-2017,372,88.71,Y
01612590111856,2016-2017,260,71.92,N
01612590112797,2016-2017,269,94.8,Y
01612590114868,2016-2017,445,80.9,Y
01612590115238,2016-2017,274,90.88,Y
01612590115386,2016-2017,76,97.37,Y
01612590115667,2016-2017,360,99.72,Y
01612590118224,2016-2017,290,91.72,Y
01612590118653,2016-2017,96,78.12,Y
01612590119859,2016-2017,94,52.13,N
01612590121228,2016-2017,1,0.0,N
01612590121376,2016-2017,3,66.67,N
01612590125161,2016-2017,759,89.72,Y
01612590125716,2016-2017,764,91.88,Y
01612590126748,2016-2017,353,94.62,Y
01612590129932,2016-2017,57,40.35,N
01612590130146,2016-2017,138,84.78,Y
01612590130179,2016-2017,100,92.0,Y
01612590130575,2016-2017,278,90.65,Y
01612590130617,2016-2017,395,71.9,N
01612590130666,2016-2017,284,93.66,Y
01612590132555,2016-2017,58,56.9,N
01612590132688,2016-2017,228,85.96,Y
01612590135905,2016-2017,1562,89.69,Y
01612590136051,2016-2017,2031,46.43,N
01612590137943,2016-2017,1843,78.73,Y
01612593030772,2016-2017,449,9.58,N
01612596056998,2016-2017,22,100.0,Y
01612596066450,2016-2017,407,94.35,Y
01612596114011,2016-2017,113,76.11,Y
01612750130286,2016-2017,68,7.35,N
01612750136515,2016-2017,811,1.85,N
01612910134528,2016-2017,144,65.28,N
01612910137588,2016-2017,2608,62.04,N
01613090111799,2016-2017,226,64.6,N
01613090114421,2016-2017,591,64.47,N
01613090130849,2016-2017,1766,52.6,N
01613090137745,2016-2017,135,60.0,N
01613090137810,2016-2017,1382,78.58,Y
01750930132704,2016-2017,2478,10.33,N
01750930138453,2016-2017,72,40.28,N
01751010130096,2016-2017,2148,7.45,N
01751010130252,2016-2017,101,30.69,N
01751010130583,2016-2017,2648,7.55,N
02100250230011,2016-2017,2,100.0,Y
03100330330035,2016-2017,12,75.0,Y
03100330330068,2016-2017,50,46.0,N
03739810330019,2016-2017,46,71.74,N
03739810330050,2016-2017,55,41.82,N
03739810330753,2016-2017,668,34.43,N
03739810334755,2016-2017,504,34.52,N
04100410114991,2016-2017,366,42.35,N
04100410129817,2016-2017,17,88.24,Y
04100410134213,2016-2017,30,100.0,Y
04100410430066,2016-2017,21,100.0,Y
04100410430090,2016-2017,138,68.84,N
04100416069256,2016-2017,18,77.78,Y
04614080430207,2016-2017,4,50.0,N
04614080430827,2016-2017,186,59.14,N
04614240111039,2016-2017,11,63.64,N
04614240120394,2016-2017,460,29.35,N
04614240123976,2016-2017,14,50.0,N
04614240430199,2016-2017,92,70.65,N
04614240430215,2016-2017,4,25.0,N
04614240431502,2016-2017,149,73.83,N
04614240431676,2016-2017,1835,36.24,N
04614240437558,2016-2017,1822,33.81,N
04614320433201,2016-2017,299,31.77,N
04614400121509,2016-2017,43,51.16,N
04614570125252,2016-2017,65,55.38,N
04615150430140,2016-2017,20,95.0,Y
04615150434803,2016-2017,1030,72.82,N
04615150435602,2016-2017,957,78.16,Y
04615150437566,2016-2017,120,85.0,Y
04615310121715,2016-2017,55,52.73,N
04615310430108,2016-2017,6,100.0,Y
04615310432856,2016-2017,125,82.4,Y
04615310437350,2016-2017,1047,48.81,N
04615316112585,2016-2017,78,67.95,N
04755070433946,2016-2017,24,62.5,N
04755070433953,2016-2017,616,26.46,N
05100580530048,2016-2017,19,94.74,Y
05100580530154,2016-2017,187,44.92,N
05100589010745,2016-2017,10,100.0,Y
05615560530014,2016-2017,18,50.0,N
05615560530121,2016-2017,23,13.04,N
05615560532507,2016-2017,653,38.44,N
05615640530022,2016-2017,37,75.68,Y
05615640530055,2016-2017,49,44.9,N
05615640531509,2016-2017,884,46.49,N
06100660630111,2016-2017,4,75.0,Y
