campus,ceeb,cds14,school_name,city,county,applicants,admits,enrollees,admit_rate,yield,application_rate,admits_per_eligible,enr_per_eligible,apps_per_enrollment,admits_per_enrollment,enr_per_enrollment,caaspp_ela_pct_met,caaspp_math_pct_met,caaspp_avg_pct_met,ag_completion_pct,upp_pct,lcff_plus,awpe_writing_met_pct,awpe_year,applicant_gpa,admit_gpa,uc_grad6_prior_pct,uc_grad6_prior_n,uc_ret1_same_pct,uc_ret1_same_n
Berkeley,053218,07618040113118,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,1608,187,144,11.63,77.01,0.91,0.1058,0.0815,0.1708,0.0199,0.0153,86.6,78.5,82.53,71.28,9.5,N,68.9,2025,3.9,3.94,92.3,724,97.0,623
Berkeley,052970,38684783833407,LOWELL HIGH SCHOOL,San Francisco,San Francisco,1324,204,139,15.41,68.14,0.7895,0.1216,0.0829,0.171,0.0263,0.018,88.3,73.6,80.97,86.0,42.6,N,67.2,2025,3.97,4.04,95.8,1295,96.5,542
Berkeley,050784,01750930132704,DUBLIN HIGH SCHOOL,Dublin,Alameda,1269,121,85,9.54,70.25,0.6528,0.0622,0.0437,0.1336,0.0127,0.009,81.8,68.9,75.33,78.86,12.1,N,71.6,2025,3.85,3.91,94.1,274,97.6,428
Berkeley,050970,01611760135244,MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,1056,119,68,11.27,57.14,0.853,0.0961,0.0549,0.1922,0.0217,0.0124,93.4,89.2,91.27,87.74,15.1,N,70.3,2025,3.92,3.96,94.0,964,95.1,323
Berkeley,050893,37683460106328,CANYON CREST ACADEMY,San Diego,San Diego,1040,106,56,10.19,52.83,0.6658,0.0679,0.0359,0.156,0.0159,0.0084,92.6,84.5,88.58,90.87,12.7,N,83.7,2025,3.98,4.02,91.2,453,95.8,291
Berkeley,050130,19642611930288,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,1016,156,88,15.35,56.41,0.6888,0.1058,0.0597,0.1133,0.0174,0.0098,69.3,61.7,65.48,64.13,32.7,N,69.8,2025,3.91,3.98,90.2,1080,96.4,357
Berkeley,050974,01611760130062,AMERICAN HIGH SCHOOL,Fremont,Alameda,986,87,63,8.82,72.41,0.7715,0.0681,0.0493,0.128,0.0113,0.0082,87.8,72.2,80.03,70.3,23.3,N,66.7,2025,3.95,4.02,94.8,495,97.9,337
Berkeley,053463,43694684334421,LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,981,99,70,10.09,70.71,0.8377,0.0845,0.0598,0.19,0.0192,0.0136,93.3,91.9,92.58,90.42,7.5,N,79.4,2025,4.06,4.09,94.4,669,93.5,226
Berkeley,053169,43694274330692,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,978,105,66,10.74,62.86,0.6249,0.0671,0.0422,0.119,0.0128,0.008,84.1,68.5,76.3,72.62,26.4,N,62.5,2025,3.87,3.93,94.3,638,95.7,362
Berkeley,053466,43694684334462,MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,962,133,98,13.83,73.68,0.7931,0.1096,0.0808,0.1917,0.0265,0.0195,87.6,87.0,87.32,90.39,9.0,N,72.5,2025,3.96,4.0,95.3,858,94.5,274
Berkeley,050290,01611430131177,BERKELEY HIGH SCHOOL,Berkeley,Alameda,948,153,68,16.14,44.44,0.565,0.0912,0.0405,0.0983,0.0159,0.0071,65.4,53.9,59.65,69.0,25.9,N,70.2,2025,3.94,4.02,88.3,656,93.1,414
Berkeley,050968,01611760134270,IRVINGTON HIGH SCHOOL,Fremont,Alameda,944,93,68,9.85,73.12,0.7363,0.0725,0.053,0.1447,0.0143,0.0104,83.2,73.7,78.47,78.65,23.9,N,77.3,2025,3.89,3.93,94.4,598,97.0,326
Berkeley,050718,43694684331799,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,920,127,96,13.8,75.59,0.7193,0.0993,0.0751,0.1641,0.0226,0.0171,86.0,81.6,83.78,82.68,13.9,N,75.4,2025,4.0,4.04,92.8,578,96.5,293
Berkeley,051088,19647331933746,GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,919,118,48,12.84,40.68,0.3409,0.0438,0.0178,0.0655,0.0084,0.0034,76.8,48.1,62.45,79.76,50.5,N,80.0,2025,3.9,4.01,90.2,637,97.0,387
Berkeley,050748,19734601932862,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,917,172,104,18.76,60.47,0.6381,0.1197,0.0724,0.1198,0.0225,0.0136,77.9,67.7,72.78,72.5,27.4,N,77.8,2025,3.93,3.98,90.8,1029,96.0,373
Berkeley,052495,01751010130583,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,905,83,57,9.17,68.67,0.5742,0.0527,0.0362,0.1157,0.0106,0.0073,82.8,69.5,76.13,79.32,9.5,N,75.5,2025,3.87,3.93,95.1,510,95.1,301
Berkeley,053462,43694684333316,HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,854,113,71,13.23,62.83,0.6303,0.0834,0.0524,0.1256,0.0166,0.0104,77.1,68.5,72.78,76.08,20.4,N,66.9,2025,3.97,4.04,93.9,585,95.2,217
Berkeley,051283,30736503030657,NORTHWOOD HIGH SCHOOL,Irvine,Orange,851,121,66,14.22,54.55,0.6659,0.0947,0.0516,0.1251,0.0178,0.0097,75.9,69.2,72.53,72.08,23.3,N,64.4,2025,3.95,4.01,92.9,529,97.4,319
Berkeley,050270,41690624130993,CARLMONT HIGH SCHOOL,Belmont,San Mateo,847,130,94,15.35,72.31,0.6283,0.0964,0.0697,0.1203,0.0185,0.0133,87.9,73.7,80.8,76.55,12.0,N,67.4,2025,3.96,4.01,91.7,466,98.5,247
Berkeley,052350,43696414335782,PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,844,129,82,15.28,63.57,0.6201,0.0948,0.0602,0.1451,0.0222,0.0141,74.3,71.8,73.08,90.13,12.9,N,80.5,2025,3.99,4.04,89.8,318,93.7,171
Berkeley,051009,30665143037496,TROY HIGH SCHOOL,Fullerton,Orange,840,107,58,12.74,54.21,0.6573,0.0837,0.0454,0.11,0.014,0.0076,86.3,75.8,81.03,68.34,39.9,N,81.4,2025,3.93,3.98,91.0,703,91.9,282
Berkeley,052347,43696414332904,HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,835,132,69,15.81,52.27,0.6653,0.1052,0.055,0.1624,0.0257,0.0134,83.6,78.9,81.22,90.94,13.0,N,64.9,2025,4.0,4.04,91.2,428,95.2,161
Berkeley,053229,07618040730051,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,830,100,70,12.05,70.0,0.5993,0.0722,0.0505,0.096,0.0116,0.0081,72.7,56.8,64.77,63.97,9.5,N,63.7,2025,3.92,3.98,92.9,403,95.7,300
Berkeley,052327,19647331995836,PALISADES CHARTER HIGH SCHOOL,Pacific Palisades,Los Angeles,812,105,51,12.93,48.57,0.3686,0.0477,0.0232,0.0915,0.0118,0.0057,69.7,38.3,54.0,94.19,25.5,N,85.1,2025,3.88,3.98,90.0,418,95.0,231
Berkeley,050266,30736500133405,PORTOLA HIGH SCHOOL,Irvine,Orange,808,94,49,11.63,52.13,0.6454,0.0751,0.0391,0.1079,0.0126,0.0065,79.4,66.5,72.93,72.92,22.4,N,75.7,2025,3.9,3.97,,,97.0,273
Berkeley,051984,30736503035102,UNIVERSITY HIGH SCHOOL,Irvine,Orange,798,94,46,11.78,48.94,0.6921,0.0815,0.0399,0.1192,0.014,0.0069,69.6,67.7,68.63,69.58,25.8,N,83.9,2025,3.9,3.98,91.0,642,92.5,241
Berkeley,053320,19649801938000,SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,776,158,82,20.36,51.9,0.634,0.1291,0.067,0.099,0.0202,0.0105,83.4,54.8,69.08,60.36,33.9,N,79.2,2025,3.87,3.98,86.9,474,93.0,213
