campus,ceeb,entry_year,cohort_n,ret1_pct,grad4_pct,grad5_pct,grad6_pct
All,050003,1999,55,91,49,69,73
All,050003,2000,70,96,76,91,93
All,050003,2001,69,97,71,88,90
All,050003,2002,45,91,73,87,91
All,050003,2003,79,96,71,92,94
All,050003,2004,67,97,73,91,93
All,050003,2005,70,91,79,91,93
All,050003,2006,70,94,80,90,93
All,050003,2007,64,91,66,83,86
All,050003,2008,61,98,75,87,89
All,050003,2009,72,88,71,83,85
All,050003,2010,47,94,70,83,83
All,050003,2011,39,92,77,87,87
All,050003,2012,56,95,86,93,95
All,050003,2013,47,98,81,94,94
All,050003,2014,47,94,81,89,89
All,050003,2015,51,98,88,94,94
All,050003,2016,39,97,79,85,87
All,050003,2017,63,94,78,87,92
All,050003,2018,49,96,84,88,90
All,050003,2019,36,92,83,86,89
All,050003,2020,56,98,91,96,
All,050003,2021,53,96,92,,
All,050003,2022,59,98,,,
All,050003,2023,42,95,,,
All,050003,2024,48,98,,,
All,050005,1999,69,93,52,83,84
All,050005,2000,61,90,44,70,79
All,050005,2001,72,94,63,83,88
All,050005,2002,65,94,62,80,91
All,050005,2003,70,96,71,90,93
All,050005,2004,90,93,62,93,93
All,050005,2005,88,95,45,88,92
All,050005,2006,95,95,56,84,88
All,050005,2007,96,96,70,88,91
All,050005,2008,112,96,63,89,91
All,050005,2009,92,97,59,84,90
All,050005,2010,97,96,67,89,91
All,050005,2011,86,95,71,92,94
All,050005,2012,104,97,81,94,96
All,050005,2013,110,97,77,90,92
All,050005,2014,95,97,72,94,98
All,050005,2015,89,99,84,97,97
All,050005,2016,92,95,82,92,92
All,050005,2017,107,96,84,93,94
All,050005,2018,78,96,83,91,91
All,050005,2019,100,96,83,96,97
All,050005,2020,112,96,77,91,
All,050005,2021,74,96,78,,
All,050005,2022,97,94,,,
All,050005,2023,95,96,,,
All,050005,2024,90,94,,,
All,050006,1999,23,100,74,91,96
All,050006,2000,38,95,58,87,87
All,050006,2001,36,94,61,89,92
All,050006,2002,41,95,68,90,90
All,050006,2003,46,85,63,83,83
All,050006,2004,48,92,65,92,96
All,050006,2005,51,96,73,90,92
All,050006,2006,60,98,78,93,93
All,050006,2007,47,96,74,91,96
All,050006,2008,73,96,85,92,95
All,050006,2009,41,90,73,80,83
All,050006,2010,40,98,85,90,93
All,050006,2011,48,100,85,96,100
All,050006,2012,54,94,76,93,93
All,050006,2013,49,100,88,94,96
All,050006,2014,42,98,83,88,93
All,050006,2015,52,96,88,94,96
All,050006,2016,59,93,81,93,93
All,050006,2017,48,100,94,100,100
All,050006,2018,49,98,86,90,94
All,050006,2019,52,92,79,90,90
All,050006,2020,73,96,84,95,
All,050006,2021,61,97,85,,
All,050006,2022,49,100,,,
All,050006,2023,60,98,,,
All,050006,2024,65,100,,,
All,050011,2016,17,100,65,82,94
All,050011,2017,11,100,82,91,91
All,050011,2021,13,77,62,,
All,050015,1999,12,83,25,67,67
All,050015,2000,29,97,48,86,93
All,050015,2001,30,93,43,70,73
All,050015,2002,22,91,59,82,95
All,050015,2003,27,85,56,81,81
All,050015,2004,28,93,54,82,89
All,050015,2005,21,90,43,76,81
All,050015,2006,42,95,55,79,81
All,050015,2007,24,92,50,75,79
All,050015,2008,27,100,81,96,96
All,050015,2009,21,100,67,86,90
All,050015,2010,22,100,55,95,100
All,050015,2011,30,93,70,80,90
All,050015,2012,23,96,52,91,91
All,050015,2013,25,92,60,96,96
All,050015,2014,28,96,75,89,89
All,050015,2015,23,83,65,83,91
All,050015,2016,25,92,60,84,88
All,050015,2017,28,100,82,96,96
All,050015,2018,40,95,60,78,83
All,050015,2019,36,86,72,89,89
All,050015,2020,35,97,74,86,
All,050015,2021,38,95,79,,
All,050015,2022,30,93,,,
All,050015,2023,45,98,,,
All,050015,2024,38,97,,,
All,050020,1999,15,93,33,60,80
All,050020,2000,15,93,60,87,87
All,050020,2001,16,94,44,81,81
All,050020,2002,25,96,60,84,84
All,050020,2003,18,100,39,72,72
All,050020,2004,12,92,67,83,83
All,050020,2005,16,75,38,56,56
All,050020,2006,20,90,70,75,80
All,050020,2007,19,84,42,58,68
All,050020,2008,17,100,53,94,94
All,050020,2009,13,100,85,100,100
All,050020,2010,13,92,77,92,92
All,050020,2011,15,87,60,80,87
All,050020,2012,13,100,46,77,77
All,050020,2014,14,93,86,100,100
All,050020,2015,11,100,73,100,100
All,050020,2016,13,100,69,85,92
All,050020,2017,11,100,100,100,100
All,050020,2018,19,100,95,100,100
All,050020,2019,13,92,62,85,92
All,050020,2020,30,90,70,87,
All,050020,2021,22,100,86,,
All,050020,2022,16,100,,,
All,050020,2023,30,87,,,
All,050020,2024,28,96,,,
All,050029,2010,12,100,83,92,92
All,050029,2011,15,93,93,100,100
All,050029,2012,11,100,73,91,100
All,050029,2013,19,89,79,79,79
All,050029,2014,16,88,81,94,94
All,050029,2015,14,100,79,93,93
All,050029,2016,19,100,84,100,100
All,050029,2017,19,95,95,95,95
All,050029,2018,19,95,95,95,100
All,050029,2019,19,95,84,95,95
All,050029,2020,21,95,76,90,
All,050029,2021,19,84,95,,
All,050029,2022,19,100,,,
All,050029,2023,21,100,,,
All,050029,2024,17,94,,,
All,050035,1999,42,88,52,81,86
All,050035,2000,61,90,39,79,82
All,050035,2001,62,90,52,81,81
All,050035,2002,51,92,51,78,84
All,050035,2003,50,92,58,86,90
All,050035,2004,65,95,62,83,91
All,050035,2005,77,95,65,88,91
All,050035,2006,106,93,58,85,87
All,050035,2007,56,95,66,80,84
All,050035,2008,73,93,60,88,90
All,050035,2009,66,94,64,89,97
All,050035,2010,61,95,67,82,89
All,050035,2011,65,98,75,88,88
All,050035,2012,64,97,72,91,94
All,050035,2013,59,95,66,90,93
All,050035,2014,51,98,82,96,98
All,050035,2015,62,100,77,94,94
All,050035,2016,48,98,81,98,98
All,050035,2017,57,100,77,89,93
All,050035,2018,56,96,68,89,93
All,050035,2019,66,91,80,92,95
All,050035,2020,63,98,76,94,
All,050035,2021,55,96,78,,
All,050035,2022,73,97,,,
All,050035,2023,81,93,,,
All,050035,2024,74,95,,,
All,050038,2019,24,83,54,67,67
All,050038,2020,53,85,47,64,
All,050038,2021,45,76,38,,
All,050038,2022,59,83,,,
All,050038,2023,66,88,,,
All,050038,2024,92,89,,,
All,050050,1999,94,90,48,81,84
All,050050,2000,87,90,56,83,85
All,050050,2001,88,98,64,85,88
All,050050,2002,86,90,69,85,88
All,050050,2003,97,97,69,90,95
All,050050,2004,95,98,72,94,96
All,050050,2005,108,98,73,95,95
All,050050,2006,134,96,71,93,95
All,050050,2007,128,95,73,91,91
All,050050,2008,110,96,67,91,92
All,050050,2009,106,97,78,94,95
All,050050,2010,130,98,74,94,95
All,050050,2011,123,95,77,90,92
All,050050,2012,100,97,81,93,97
All,050050,2013,87,99,86,97,98
All,050050,2014,96,97,80,90,93
All,050050,2015,74,97,85,92,93
All,050050,2016,85,99,88,95,96
All,050050,2017,64,100,89,95,95
All,050050,2018,92,100,85,93,96
All,050050,2019,102,96,85,92,94
All,050050,2020,78,92,72,81,
All,050050,2021,66,95,83,,
All,050050,2022,78,92,,,
All,050050,2023,66,92,,,
All,050050,2024,66,95,,,
All,050051,2020,20,90,55,75,
All,050051,2021,19,95,74,,
All,050051,2022,13,100,,,
All,050051,2023,16,94,,,
All,050055,1999,69,96,55,87,91
All,050055,2000,102,96,59,90,94
All,050055,2001,72,96,69,90,92
All,050055,2002,88,99,68,91,93
All,050055,2003,103,97,61,89,90
All,050055,2004,88,97,73,94,95
All,050055,2005,87,97,75,91,94
All,050055,2006,117,97,72,93,95
All,050055,2007,109,95,70,88,91
All,050055,2008,87,98,84,94,95
All,050055,2009,101,99,78,96,96
All,050055,2010,94,98,77,94,96
All,050055,2011,105,97,81,90,90
All,050055,2012,91,98,79,97,97
All,050055,2013,109,99,82,96,99
All,050055,2014,93,100,82,96,98
All,050055,2015,94,96,85,95,96
All,050055,2016,100,97,85,91,93
All,050055,2017,81,98,88,93,93
All,050055,2018,109,98,89,94,94
All,050055,2019,106,98,87,92,92
All,050055,2020,113,96,83,89,
All,050055,2021,106,100,87,,
All,050055,2022,97,98,,,
All,050055,2023,88,95,,,
All,050055,2024,109,96,,,
All,050060,1999,25,88,44,84,84
All,050060,2000,31,97,35,81,87
All,050060,2001,25,96,64,76,84
All,050060,2002,27,89,63,85,85
All,050060,2003,15,87,47,67,67
All,050060,2004,26,92,46,77,77
All,050060,2005,29,97,55,90,90
All,050060,2006,17,100,53,76,82
All,050060,2007,32,94,44,84,88
All,050060,2008,26,96,85,85,85
All,050060,2009,15,93,67,87,93
All,050060,2010,13,100,54,92,92
All,050060,2011,15,87,67,87,87
All,050060,2012,20,95,70,90,90
All,050060,2013,11,91,45,82,91
All,050060,2015,11,100,91,100,100
All,050060,2016,12,100,92,92,100
All,050060,2019,11,82,73,82,82
All,050060,2020,17,88,65,76,
All,050060,2021,14,93,86,,
All,050060,2022,13,92,,,
All,050060,2023,15,100,,,
All,050060,2024,12,92,,,
All,050063,1999,66,94,52,77,80
All,050068,2010,19,95,42,63,74
All,050068,2011,19,89,53,74,74
All,050068,2012,21,76,24,48,57
All,050068,2013,15,67,13,40,40
All,050068,2014,17,94,35,71,71
All,050068,2015,12,92,75,92,92
All,050068,2016,17,82,53,71,71
All,050068,2017,16,81,63,69,75
All,050068,2018,16,88,38,56,69
All,050068,2020,14,86,57,57,
All,050068,2021,10,100,80,,
All,050075,1999,10,70,70,90,90
All,050075,2000,23,91,65,78,83
All,050075,2001,20,95,50,75,85
All,050075,2002,26,92,58,77,77
All,050075,2003,23,96,61,83,87
All,050075,2004,22,95,50,82,82
All,050075,2005,21,100,76,95,95
All,050075,2006,26,92,50,73,77
All,050075,2007,26,92,65,81,85
All,050075,2008,17,94,47,94,94
All,050075,2009,14,100,64,93,93
All,050075,2010,14,100,64,93,93
All,050075,2011,17,94,65,88,88
All,050075,2012,24,96,67,83,83
All,050075,2013,14,93,43,86,86
All,050075,2014,21,95,71,90,95
All,050075,2015,10,90,60,80,90
All,050075,2017,15,100,87,93,93
All,050075,2019,10,100,70,100,100
All,050075,2020,11,82,64,73,
All,050075,2022,14,93,,,
All,050075,2023,20,85,,,
All,050075,2024,21,95,,,
All,050077,1999,37,86,51,81,84
All,050077,2000,29,90,55,76,79
All,050077,2001,32,94,50,78,78
All,050077,2002,40,95,58,75,83
All,050077,2003,18,100,61,83,83
All,050077,2004,32,84,53,69,72
All,050077,2005,25,96,84,84,84
All,050077,2006,26,88,50,73,77
All,050077,2007,33,97,70,85,91
All,050077,2008,31,94,68,90,90
All,050077,2009,41,100,76,95,98
All,050077,2010,32,81,66,75,75
All,050077,2011,27,96,59,89,89
All,050077,2012,30,93,73,87,87
All,050077,2013,35,80,74,83,83
All,050077,2014,37,95,57,76,84
All,050077,2015,28,100,64,82,86
All,050077,2016,49,88,61,80,80
All,050077,2017,40,95,65,75,83
All,050077,2018,29,97,79,86,86
All,050077,2019,42,90,69,79,79
All,050077,2020,43,95,72,84,
All,050077,2021,42,95,86,,
All,050077,2022,32,94,,,
All,050077,2023,30,100,,,
All,050077,2024,41,100,,,
All,050081,1999,19,89,47,74,74
All,050081,2000,19,95,63,79,79
All,050081,2001,17,100,41,82,82
All,050081,2002,30,80,33,63,67
All,050081,2003,26,77,46,65,69
All,050081,2004,11,91,73,82,82
All,050081,2005,19,89,53,74,79
All,050081,2006,15,100,60,87,87
All,050081,2007,19,79,11,63,68
All,050081,2008,15,87,53,80,87
