campus,ceeb,cds14,school_name,city,county,applicants,admits,admit_rate,ela_pct_met,math_pct_met,avg_pct_met,upp_pct,lcff_plus,enroll_9_12,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Davis,053218,07618040113118,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,1752,434,24.772,86.59,78.46,82.52,9.87,N,3039,841,598,0.7258,gardiner_seed,1.00
Davis,050784,01750930132704,DUBLIN HIGH SCHOOL,Dublin,Alameda,1394,330,23.673,81.79,68.88,75.34,17.43,N,2771,829,667,0.4948,gardiner_seed,1.00
Davis,052970,38684783833407,LOWELL HIGH SCHOOL,San Francisco,San Francisco,1300,504,38.769,88.29,73.6,80.95,43.76,N,2571,624,488,1.0328,gardiner_seed,1.00
Davis,050970,01611760135244,MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,1125,223,19.822,93.37,89.17,91.27,20.35,N,1794,434,382,0.5838,gardiner_seed,1.00
Davis,053169,43694274330692,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,1116,253,22.67,84.11,68.5,76.31,32.89,N,2703,699,518,0.4884,gardiner_seed,1.00
Davis,050974,01611760130062,AMERICAN HIGH SCHOOL,Fremont,Alameda,1062,286,26.93,87.86,72.24,80.05,27.77,N,2618,621,456,0.6272,gardiner_seed,1.00
Davis,050968,01611760134270,IRVINGTON HIGH SCHOOL,Fremont,Alameda,1056,231,21.875,83.22,73.68,78.45,27.68,N,2157,539,355,0.6507,gardiner_seed,1.00
Davis,050893,37683460106328,CANYON CREST ACADEMY,San Diego,San Diego,1036,334,32.239,92.63,84.56,88.59,12.25,N,2147,548,480,0.6958,gardiner_seed,1.00
Davis,053466,43694684334462,MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,1035,213,20.58,87.65,86.99,87.32,9.88,N,1630,445,401,0.5312,gardiner_seed,1.00
Davis,050290,01611430131177,BERKELEY HIGH SCHOOL,Berkeley,Alameda,1023,362,35.386,65.43,53.89,59.66,27.13,N,3218,810,541,0.6691,gardiner_seed,1.00
Davis,052495,01751010130583,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,1018,267,26.228,82.8,69.47,76.13,9.87,N,2583,653,514,0.5195,gardiner_seed,1.00
Davis,053463,43694684334421,LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,1018,188,18.468,93.26,91.89,92.57,8.4,N,1702,407,370,0.5081,gardiner_seed,1.00
Davis,050718,43694684331799,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,970,239,24.639,85.99,81.59,83.79,15.94,N,1800,491,406,0.5887,gardiner_seed,1.00
Davis,053462,43694684333316,HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,958,208,21.712,77.08,68.47,72.77,21.81,N,2224,587,436,0.4771,gardiner_seed,1.00
