campus,ceeb,cds14,school_name,city,county,applicants_2325,admits_2325,admit_rate_2325,ela_pct_met_avg,math_pct_met_avg,avg_pct_met,upp_pct_2425,lcff_plus,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Berkeley,053218,07618040113118,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,1608,187,11.63,86.59,78.46,82.52,9.87,N,841,598,0.3127,gardiner_seed,1.00
Berkeley,052970,38684783833407,LOWELL HIGH SCHOOL,San Francisco,San Francisco,1324,204,15.41,88.29,73.6,80.95,43.76,N,624,488,0.418,gardiner_seed,1.00
Berkeley,050784,01750930132704,DUBLIN HIGH SCHOOL,Dublin,Alameda,1269,121,9.54,81.79,68.88,75.34,17.43,N,829,667,0.1814,gardiner_seed,1.00
Berkeley,050970,01611760135244,MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,1056,119,11.27,93.37,89.17,91.27,20.35,N,434,382,0.3115,gardiner_seed,1.00
Berkeley,050893,37683460106328,CANYON CREST ACADEMY,San Diego,San Diego,1040,106,10.19,92.63,84.56,88.59,12.25,N,548,480,0.2208,gardiner_seed,1.00
Berkeley,050130,19642611930288,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,1016,156,15.35,69.26,61.68,65.47,30.96,N,796,514,0.3035,gardiner_seed,1.00
Berkeley,050974,01611760130062,AMERICAN HIGH SCHOOL,Fremont,Alameda,986,87,8.82,87.86,72.24,80.05,27.77,N,621,456,0.1908,gardiner_seed,1.00
Berkeley,053463,43694684334421,LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,981,99,10.09,93.26,91.89,92.57,8.4,N,407,370,0.2676,gardiner_seed,1.00
Berkeley,053169,43694274330692,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,978,105,10.74,84.11,68.5,76.31,32.89,N,699,518,0.2027,gardiner_seed,1.00
Berkeley,053466,43694684334462,MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,962,133,13.83,87.65,86.99,87.32,9.88,N,445,401,0.3317,gardiner_seed,1.00
Berkeley,050290,01611430131177,BERKELEY HIGH SCHOOL,Berkeley,Alameda,948,153,16.14,65.43,53.89,59.66,27.13,N,810,541,0.2828,gardiner_seed,1.00
