campus,caaspp_year,N_schools,pearson_rate_met,pearson_rate_upp,LCFF_gap_pts
Berkeley,2015,625,0.265,-0.213,-1.6
Berkeley,2016,646,0.222,-0.198,-1.1
Berkeley,2017,655,0.15,-0.095,-0.0
Berkeley,2018,668,0.049,0.029,1.0
Berkeley,2019,702,-0.065,0.211,3.3
Berkeley,2022,842,-0.294,0.467,5.7
Berkeley,2023,862,-0.233,0.383,4.4
Berkeley,2024,770,-0.256,0.381,4.1
Berkeley,2025,680,-0.179,0.24,2.8
San Diego,2015,791,0.161,-0.15,-1.5
San Diego,2016,814,0.16,-0.115,-0.9
San Diego,2017,841,-0.016,0.108,1.1
San Diego,2018,838,-0.077,0.184,2.0
San Diego,2019,849,-0.005,0.097,0.6
San Diego,2022,946,-0.545,0.72,18.4
San Diego,2023,967,-0.558,0.741,20.8
San Diego,2024,849,-0.552,0.727,16.9
San Diego,2025,800,-0.506,0.669,14.4
