campus,caaspp_year,N_schools,pearson_rate_met,pearson_rate_upp,slope_rate_per_met_pt,LCFF_gap_pts
Davis,2015,855,0.138,-0.225,0.054,-2.83
Davis,2016,889,0.035,-0.158,0.014,-2.59
Davis,2017,938,-0.013,-0.064,-0.005,-1.59
Davis,2018,939,-0.066,0.02,-0.026,-0.41
Davis,2019,964,-0.036,-0.016,-0.014,-0.81
Davis,2022,984,-0.181,0.239,-0.074,2.43
Davis,2023,1011,-0.236,0.364,-0.102,3.76
Davis,2024,895,-0.27,0.343,-0.123,2.98
Davis,2025,803,-0.231,0.279,-0.121,1.9
Irvine,2015,856,0.14,-0.183,0.065,-3.38
Irvine,2016,871,0.232,-0.367,0.126,-7.89
Irvine,2017,894,0.311,-0.456,0.164,-9.1
Irvine,2018,879,0.38,-0.454,0.178,-7.14
Irvine,2019,858,0.468,-0.468,0.189,-6.34
Irvine,2022,854,0.002,0.081,0.001,1.55
Irvine,2023,906,0.039,0.074,0.019,1.12
Irvine,2024,809,0.043,0.052,0.02,0.86
Irvine,2025,769,0.039,0.033,0.02,0.88
Los Angeles,2015,738,0.029,0.022,0.008,1.06
Los Angeles,2016,770,-0.01,0.007,-0.003,0.48
Los Angeles,2017,781,0.017,-0.028,0.004,0.05
Los Angeles,2018,768,0.048,-0.023,0.011,0.01
Los Angeles,2019,755,0.1,-0.087,0.021,-0.82
Los Angeles,2022,834,-0.139,0.134,-0.026,0.92
Los Angeles,2023,858,-0.112,0.134,-0.021,0.76
Los Angeles,2024,752,-0.175,0.171,-0.03,0.77
Los Angeles,2025,712,-0.141,0.153,-0.024,0.69
Merced,2015,600,0.499,-0.604,0.375,-14.46
Merced,2016,664,0.445,-0.563,0.323,-12.54
Merced,2017,746,0.47,-0.559,0.32,-11.74
Merced,2018,771,0.476,-0.553,0.323,-11.1
Merced,2019,787,0.442,-0.502,0.263,-8.34
Merced,2022,778,0.387,-0.356,0.128,-3.55
Merced,2023,773,0.369,-0.355,0.116,-3.62
Merced,2024,770,0.407,-0.393,0.109,-3.37
Merced,2025,664,0.377,-0.332,0.096,-2.62
Riverside,2015,677,0.693,-0.8,0.595,-21.19
Riverside,2016,715,0.672,-0.816,0.629,-23.56
Riverside,2017,767,0.673,-0.817,0.624,-23.13
Riverside,2018,782,0.679,-0.819,0.654,-23.05
Riverside,2019,802,0.696,-0.811,0.67,-22.76
Riverside,2022,809,0.49,-0.575,0.295,-11.32
Riverside,2023,809,0.528,-0.592,0.306,-11.49
Riverside,2024,750,0.478,-0.58,0.226,-9.21
Riverside,2025,681,0.484,-0.567,0.234,-8.62
Santa Barbara,2015,855,0.178,-0.359,0.103,-8.37
Santa Barbara,2016,885,0.105,-0.341,0.059,-7.51
Santa Barbara,2017,910,-0.017,-0.222,-0.01,-5.81
Santa Barbara,2018,924,-0.191,-0.04,-0.118,-3.1
Santa Barbara,2019,935,-0.196,-0.029,-0.131,-3.43
Santa Barbara,2022,972,-0.514,0.387,-0.39,7.72
Santa Barbara,2023,975,-0.488,0.394,-0.346,7.87
Santa Barbara,2024,864,-0.487,0.411,-0.324,7.74
Santa Barbara,2025,792,-0.435,0.367,-0.275,6.32
Santa Cruz,2015,800,0.541,-0.749,0.425,-19.74
Santa Cruz,2016,809,0.57,-0.765,0.515,-22.31
Santa Cruz,2017,821,0.5,-0.678,0.464,-20.17
Santa Cruz,2018,819,0.453,-0.615,0.413,-17.81
Santa Cruz,2019,837,0.508,-0.639,0.411,-16.81
Santa Cruz,2022,932,0.208,-0.288,0.105,-6.96
Santa Cruz,2023,966,0.284,-0.359,0.149,-7.8
Santa Cruz,2024,848,0.41,-0.55,0.238,-11.53
Santa Cruz,2025,750,0.338,-0.505,0.219,-11.81
Berkeley,2015,625,0.265,-0.213,0.087,-1.58
Berkeley,2016,646,0.222,-0.198,0.075,-1.09
Berkeley,2017,655,0.15,-0.095,0.048,-0.03
Berkeley,2018,668,0.049,0.029,0.016,1.02
Berkeley,2019,702,-0.065,0.211,-0.023,3.31
Berkeley,2022,842,-0.294,0.467,-0.104,5.69
Berkeley,2023,862,-0.233,0.383,-0.077,4.39
Berkeley,2024,770,-0.256,0.381,-0.082,4.12
Berkeley,2025,680,-0.179,0.24,-0.056,2.8
San Diego,2015,791,0.161,-0.15,0.053,-1.46
San Diego,2016,814,0.16,-0.115,0.054,-0.92
San Diego,2017,841,-0.016,0.108,-0.006,1.07
San Diego,2018,838,-0.077,0.184,-0.033,1.98
San Diego,2019,849,-0.005,0.097,-0.002,0.59
San Diego,2022,946,-0.545,0.72,-0.389,18.44
San Diego,2023,967,-0.558,0.741,-0.445,20.75
San Diego,2024,849,-0.552,0.727,-0.363,16.93
San Diego,2025,800,-0.506,0.669,-0.334,14.36
